city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Perth,2008-02-15,ODI,"{by={runs=63}, winner=Australia}",50,[AC Gilchrist],Western Australia Cricket Association Ground,Australia,Australia, Australia,bat
,2008-02-19,ODI,"{by={wickets=2}, winner=India}",50,[KC Sangakkara],Adelaide Oval,India,India, Sri Lanka,bat
,2008-02-22,ODI,"{by={runs=24}, method=D/L, winner=Australia}",50,[MEK Hussey],Melbourne Cricket Ground,Australia,Australia, Sri Lanka,field
Hobart,2008-02-26,ODI,"{by={wickets=7}, winner=India}",50,[P Kumar],Bellerive Oval,India,India, India,field
,2008-02-29,ODI,"{by={runs=13}, winner=Sri Lanka}",50,[AC Gilchrist],Melbourne Cricket Ground,Sri Lanka,Australia, Sri Lanka,bat
Colombo,2007-07-20,ODI,"{by={runs=70}, winner=Sri Lanka}",50,[CRD Fernando],P Saravanamuttu Stadium,Sri Lanka, Bangladesh, Bangladesh,field
Colombo,2007-07-23,ODI,"{by={wickets=5}, winner=Sri Lanka}",50,[ST Jayasuriya],R Premadasa Stadium,Sri Lanka, Bangladesh, Sri Lanka,field
Colombo,2007-07-25,ODI,"{by={runs=39}, winner=Sri Lanka}",50,[J Mubarak],R Premadasa Stadium,Sri Lanka, Bangladesh, Bangladesh,field
Guyana,"2008-03-22, 2008-03-23, 2008-03-24, 2008-03-25, 2008-03-26",Test,"{by={runs=121}, winner=Sri Lanka}",,[WPUJC Vaas],Providence Stadium,Sri Lanka,West Indies, Sri Lanka,bat
Trinidad,"2008-04-03, 2008-04-04, 2008-04-05, 2008-04-06",Test,"{by={wickets=6}, winner=West Indies}",,[RR Sarwan],"Queen's Park Oval, Port of Spain",West Indies,West Indies, West Indies,field
Trinidad,2008-04-10,ODI,"{by={wickets=1}, winner=West Indies}",50,[DJ Bravo],"Queen's Park Oval, Port of Spain",West Indies,West Indies, West Indies,field
Trinidad,2008-04-12,ODI,"{by={wickets=7}, method=D/L, winner=West Indies}",50,[S Chanderpaul],"Queen's Park Oval, Port of Spain",West Indies,West Indies, West Indies,field
St Lucia,2008-04-15,ODI,{result=no result},50,,"Beausejour Stadium, Gros Islet",no result,West Indies, West Indies,field
Lahore,2008-06-25,ODI,"{by={runs=131}, winner=Sri Lanka}",50,[KC Sangakkara],Gaddafi Stadium,Sri Lanka,Bangladesh, Bangladesh,field
Lahore,2008-06-26,ODI,"{by={runs=142}, winner=Sri Lanka}",50,[BAW Mendis],Gaddafi Stadium,Sri Lanka, United Arab Emirates, Sri Lanka,bat
Karachi,2008-06-29,ODI,"{by={runs=64}, winner=Sri Lanka}",50,[KC Sangakkara],National Stadium,Sri Lanka,Pakistan, Pakistan,field
Karachi,2008-06-30,ODI,"{by={runs=158}, winner=Sri Lanka}",50,[ST Jayasuriya],National Stadium,Sri Lanka,Bangladesh, Sri Lanka,bat
Karachi,2008-07-03,ODI,"{by={wickets=6}, winner=India}",50,[MS Dhoni],National Stadium,India,India, Sri Lanka,bat
Karachi,2008-07-06,ODI,"{by={runs=100}, winner=Sri Lanka}",50,[BAW Mendis],National Stadium,Sri Lanka,India, India,field
Colombo,"2008-07-23, 2008-07-24, 2008-07-25, 2008-07-26",Test,"{by={innings=1, runs=239}, winner=Sri Lanka}",,[M Muralitharan],Sinhalese Sports Club Ground,Sri Lanka, India, Sri Lanka,bat
,"2008-07-31, 2008-08-01, 2008-08-02, 2008-08-03",Test,"{by={runs=170}, winner=India}",,[V Sehwag],Galle International Stadium,India, India, India,bat
Colombo,"2008-08-08, 2008-08-09, 2008-08-10, 2008-08-11",Test,"{by={wickets=8}, winner=Sri Lanka}",,[KC Sangakkara],P Saravanamuttu Stadium,Sri Lanka, India, India,bat
,2008-08-18,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[BAW Mendis],Rangiri Dambulla International Stadium,Sri Lanka, India, India,bat
,2008-08-20,ODI,"{by={wickets=3}, winner=India}",50,[Z Khan],Rangiri Dambulla International Stadium,India, India, India,field
Colombo,2008-08-24,ODI,"{by={runs=33}, winner=India}",50,[MS Dhoni],R Premadasa Stadium,India, India, India,bat
Colombo,2008-08-29,ODI,"{by={runs=112}, method=D/L, winner=Sri Lanka}",50,[KMDN Kulasekara],R Premadasa Stadium,Sri Lanka, India, Sri Lanka,bat
